               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071333,            0.045017,            0.021846,             0.72193,             0.48949,              0.4262,             0.16121,            0.049757,            0.027531,           0.0075667,           0.0033314,           0.0033314,            0.070017
                   1,            0.051041,            0.033085,           0.0070531,             0.90317,             0.57169,             0.60458,             0.29387,            0.042297,            0.025007,           0.0042745,           0.0063349,           0.0063349,            0.039687
                   2,            0.046618,            0.032433,           0.0056572,             0.93897,             0.60983,             0.64144,             0.36335,            0.034509,             0.02466,           0.0037645,           0.0090083,           0.0090083,           0.0090273
                   3,            0.039547,            0.031047,           0.0047239,             0.96303,             0.61458,             0.65055,             0.40515,            0.029654,            0.023757,           0.0025331,            0.008515,            0.008515,            0.008515
                   4,            0.035902,            0.030506,           0.0037805,             0.96069,             0.61194,             0.64674,             0.41344,            0.028694,            0.023459,           0.0025175,            0.008515,            0.008515,            0.008515
                   5,            0.033014,            0.029534,           0.0031949,             0.96063,             0.62351,             0.65537,             0.42554,            0.028064,            0.022782,           0.0021721,             0.00802,             0.00802,             0.00802
                   6,            0.031625,            0.028937,           0.0028861,             0.96216,             0.62212,             0.65681,             0.43464,            0.026946,            0.022541,           0.0019585,            0.007525,            0.007525,            0.007525
                   7,            0.030869,            0.028475,           0.0027817,              0.9642,             0.62401,             0.65924,             0.43905,            0.026434,             0.02243,           0.0019401,             0.00703,             0.00703,             0.00703
                   8,            0.029899,            0.028053,           0.0026546,             0.97006,             0.61901,             0.65896,             0.43542,            0.026428,            0.022314,           0.0017167,            0.006535,            0.006535,            0.006535
                   9,            0.029494,            0.028137,           0.0024394,              0.9623,               0.628,             0.65868,             0.43796,            0.026392,            0.022237,           0.0016358,             0.00604,             0.00604,             0.00604
                  10,            0.028569,            0.027813,           0.0022401,             0.96548,             0.62795,             0.66074,             0.44551,            0.025682,            0.021903,           0.0015585,            0.005545,            0.005545,            0.005545
                  11,            0.028174,            0.027271,           0.0021372,             0.95868,             0.63322,             0.66021,             0.44789,            0.025568,            0.022096,           0.0016433,             0.00505,             0.00505,             0.00505
                  12,            0.027729,             0.02744,           0.0020753,             0.96127,             0.63321,             0.65956,             0.44564,            0.025501,            0.021972,           0.0014489,            0.004555,            0.004555,            0.004555
                  13,            0.027321,            0.026557,            0.001927,             0.96004,             0.63345,              0.6643,             0.44891,            0.025524,            0.021916,           0.0014102,             0.00406,             0.00406,             0.00406
                  14,            0.027016,            0.026469,           0.0018948,             0.94036,             0.65151,             0.66924,             0.45893,             0.02512,            0.021718,           0.0014308,            0.003565,            0.003565,            0.003565
                  15,            0.026572,            0.026138,           0.0016935,             0.70363,              0.6506,             0.66566,             0.45399,            0.025148,            0.021893,           0.0013707,             0.00307,             0.00307,             0.00307
                  16,            0.026423,            0.025572,           0.0015971,             0.65559,             0.65212,             0.66191,             0.45369,            0.025014,            0.021746,           0.0014021,            0.002575,            0.002575,            0.002575
                  17,            0.026173,            0.025786,            0.001534,             0.79209,             0.63724,             0.66517,             0.45749,            0.024927,            0.021709,           0.0013888,             0.00208,             0.00208,             0.00208
                  18,            0.025868,            0.025563,           0.0014836,             0.70563,             0.64328,             0.66825,             0.46085,            0.024842,            0.021807,           0.0012899,            0.001585,            0.001585,            0.001585
                  19,            0.025704,             0.02555,           0.0014222,             0.73993,             0.64325,             0.67112,             0.46202,            0.024787,            0.021797,            0.001277,             0.00109,             0.00109,             0.00109
